"french","bambara"
"3SG","à"
"il le lui a donné ; elle la lui donna ...","à y'á d'á mà"
"[Context: la mère de lui, d'elle] c'est sa mère","à bá dòn"
"[Context: ce n'est pas sa propriété] ce n'est pas le sien ..., la sienne ...","à tá tɛ́"
"ceci","à"
"tu dirais ceci, par exemple ...","í ń'á fɔ́"
"cela a obtenu ceci : ..., alors ...","ò y'á sɔ̀rɔ"
"se","à"
"il s'est assis, elle s'est assise","à y'á sìgi = à y'í sìgi"
"ah!","á"
"2PL","á"
"2PL","á'"
"peut-être","à dɔ́ lá"
"peut-être","à dɔ́ rá"
"peut-être","à dɔ́ rɔ́"
"ah!","áa"
"oh!","áa"
"merci","àbarika"
"merci","àbarka"
"Papa, merci !","bàba, àbarika !"
"merci à Dieu !","àbarika  Ála yé !"
"[Context: au cours d'un marchandage, quand la somme paraît trop élevée] baisse le prix !","àbarika !"
"humain","ádamaden"
"humain","mɔ̀gɔ"
"humain","màaninfin"
"humain","hádamaden"
"tous les hommes sont égaux","ádamaden bɛ́ɛ ká kán"
"humanité","ádamadenya"
"humanité","mɔ̀gɔya"
"humanité","màaninfinya"
"humanité","hádamaden.ya"
"état d'homme","ádamadenya"
"état d'homme","mɔ̀gɔya"
"état d'homme","màaninfinya"
"état d'homme","hádamaden.ya"
"savoir-vivre","ádamadenya"
"savoir-vivre","mɔ̀gɔya"
"savoir-vivre","màaninfinya"
"savoir-vivre","hádamaden.ya"
"beignet d’haricot","ákara"
"Dieu","Ála"
"Dieu","ngála"
"Que Dieu t'aide !","Ála k' ì dɛ̀mɛ !"
"Si Dieu le veut ...","ní  Ála sɔ̀nna..."
"[Context: en cas de malheur] ","Ála dén !"
"[Context: ""volonté de Dieu, volonté de vous""..., paroles de conclusion dans les palabres l'intervenant s'en remet à l'auditoire] Je m'en remets à Dieu et à vous !","Ála sàgo, á sàgo !"
"[Context: dans une épreuve, une injustice] je m'en remets à Dieu","ń bɛ́  Ála mìnɛ"
"indique la grandeur, l'excellence de qch.","Ála ní..."
"[Context: m. à m. : Dieu et vérité] authentique, vrai de vrai ...","Ála ní  tìɲɛ"
"celui-ci est un vrai fils du pays","nìn yé jàmanaden Ála ní  tìɲɛ yé"
"à cause de sa grande beauté ...","Ála ní  à cɛ̀ɲa kósɔn..."
"[Context: l'amour de] pour  Dieu","Ála kósɔn ;  Ála káma"
"[Context: si Dieu s'ajoute à moi] si Dieu m'aide ...","ní  Ála fàrala ń kàn"
"ciel","Ála"
"ciel","ngála"
"le ciel s'est noirci","Ála fìnna"
"pluie","Ála"
"pluie","ngála"
"la pluie est venue, il a plu","Ála nàna"
"Tout-Puissant","Ála Táala"
"Tout-Puissant","Ála Táana"
"Tout-Puissant","Álawutaala"
"maladie inexpliquée","álabana"
"prière communautaire","álabato"
"adoration de Dieu","álabato"
"naevus","áladaba"
"prière","áladeli"
"providence","álafàrańkàn"
"liane chevelue","álajɔ"
