"bambara","french"
"Jigi, i bolo degunnen don wa ?","Jigi, es-tu occupé ?"
"Dɔɔnin !","Un peu! "
"N bɛ « biriki » gosi la, a tile naani ye bi ye.","Je suis en train de faire des briques voilà quatre jours aujourd’hui."
"Soko b'i la wa ?","As-tu un problème de maison ?"
"Ɔwɔ, dunanso ɲuman tɛ n bolo.","Oui, je n’ai pas une belle maison pour les « étrangers »."
"Bi, surɔfana dunnen kɔ, n bɛ na an ka baro kɛ.","Aujourd’hui, après le repas du soir, je viens causer."
"Paul, o na diya n ye.","Paul, cela me fera plaisir."
"Surɔfana dunnen dɔrɔn, Paul nana Jigi bara.","Après le repas du soir, Paul est venu chez Jigi."
"Jigi, cɛkɔrɔba dara wa ?","Jigi, le vieux est-il couché ?"
"Ɔwɔ, a man kɛnɛ.","Oui, il n’est pas bien portant."
"Su kolen, a y'i da.","La nuit tombée, il s’est couché."
"Jigi, tilema fɛ, bamanankɛ bɛ baara jumɛn ni jumɛn kɛ ?","Jigi, pendant la saison sèche, quels sont les travaux de l’homme bambara ?"
"I b'a fɛ ne k'i ladɔnniya o la wa ?","Veux-tu que je t’informe de cela ?"
"Ɔwɔ, ne b'a fɛ, i ka ne ladɔnniya o la !","Oui, je veux que tu m’informes de cela !"
"A filɛ, baara dɔ ye sojɔ ye.","Voilà, l’un des travaux, c’est la construction de la maison."
"N'i tilara birikigɔsi la, i bɛ mun kɛ ?","Quand tu as fini de faire les briques, que fais-tu ?"
"Ne bɛ taa kungo kɔnɔ ka jiri ɲini.","Je vais en brousse chercher du bois."
"Naamu !","Et alors ?"
"O kɔfɛ, an bɛ bɔgɔ nɔɔni.","Ensuite, nous pétrissons la terre."
"Sirajɛ tɛ i dɛmɛ o la wa ?","Siraje ne t’aide-t-elle pas à faire cela ?"
"Ɔwɔ, so jɔdon, Sirajɛ bɛ ji kɛ bɔgɔ la.","Oui, le jour de la construction, Siraje met l’eau dans la boue."
"I bɛna so kura bili ni toli ye wa ?","Vas-tu couvrir le toit de la nouvelle maison avec des tôles ?"
"Ayi, ne tɛna a bili ni toli ye.","Non, je vais pas le couvrir avec des tôles."
"O se tɛ ne ye ɲinan.","Je n’en ai pas les moyens cette année."
"Tilema fɛ, baara wɛrɛ bɛ yen wa ?","Pendant la saison sèche, y a-t-il d’autres travaux ?"
"Dɔw bɛ, u bɛ bilali da.","Il y en a qui font des nattes."
"Naamu !","Oui!"
"O fana bɛ i dɛmɛ du musaka la.","Cela aussi t’aide pour les dépenses de la famille."
"Bilali ni karata tɛ kelen ye, ko di ?","La natte et le secco ne sont pas pareils, n’est-ce pas ?"
"Faranfasi b'u ni ɲɔgɔn cɛ dɛ !","Il y a vraiment une différence entre eux !"
"Dɔw fana bɛ ŋunu da : o tɛ tiɲɛ ye ?","Il y en a aussi qui font des ruches : n’est-il pas vrai ?"
"Minnu bɛ se o la, u b'o da.","Ceux qui savent faire cela, ils le font."
"Ŋunu dalen, u b'a kɛ di ?","La ruche fabriquée, qu’en font-ils ?"
"U bɛ taa o da jiri balan.","Ils partent la mettre dans l’arbre."
"Aw bɛ ŋunu fiyɛ tuma jumɛn ?","A quel moment récoltez-vous le miel ?"
"An bɛ ŋunu fiyɛ samiyɛdonda ani fobɔnda.","Nous récoltons le miel à l’approche de la saison des pluies et au commencement de la saison sèche."
"Dibara sɔngɔ ka bon wa ?","La calebasse de miel est-elle chère ?"
"Wari don dɛ !","Cela fait bien de l’argent !"
"Aw bɛ o di kɛ mun ye ?","Que faites-vous de ce miel ?"
"Dɔw bɛ, u b'a dun.","Il y en a qui le mangent."
"Dɔw bɛ, u b'a kɛ dikolen ye.","Il y en a qui en font de l’hydromel."
"Diɲɛ na, « bɛɛ n'i ka baara don ».","Dans le monde «à chacun son travail »."
"O ye tiɲɛ ye, ani fana, « baara bɛɛ n'a kɛtuma don ».","C’est vrai, et aussi «chaque chose en son temps »."
"Jigi, sanni samiyɛ ka se, aw bɛ mun baara kɛ foro la ?","Jigi, avant que la saison des pluies n’arrive, quel travail faites-vous dans le champ ?"
"An bɛ ɲɔkala cɛ k'a jeni.","Nous ramassons les tiges de mil et nous les brûlons."
"I tɛna foro kura bin ɲinan ?","Ne feras-tu pas un nouveau champ cette année ?"
